fecha,planta,inverter_id,irradiacion_min,irradiacion_mean,irradiacion_max,t_ambiente_min,t_ambiente_mean,t_ambiente_max,t_modulo_min,t_modulo_mean,t_modulo_max,kw_dc_min,kw_dc_mean,kw_dc_max,kw_dc_sum,kw_ac_min,kw_ac_mean,kw_ac_max,kw_ac_sum,eficiencia_min,eficiencia_mean,eficiencia_max,kw_dia_max,kw_total_max
2020-05-15,p1,1BY6WEcLGh8j5v7,0.0,0.2046990307090609,0.8936614913333333,22.0374816,27.430822788408364,34.430942666666674,20.29072571428572,32.58296413615345,55.030613,0.0,2530.545122892796,10642.75,235340.69642903,0.0,247.8123719882688,1039.35,23046.550594909,0.0,5.258028950693204,9.823548181238035,5754.0,6265313.0
2020-05-16,p1,1BY6WEcLGh8j5v7,0.0,0.2119510247961668,0.8122406413333334,21.496287,26.78053837288961,32.52414946666667,19.59269193333333,31.85885105854978,54.23274553333334,0.0,2916.248579557841,11209.0,256629.87500109,0.0,285.50558036007953,1095.285714,25124.491071687,0.0,5.5551100517104155,9.828622454236358,6292.0,6271605.0
2020-05-17,p1,1BY6WEcLGh8j5v7,0.0,0.23886852248987903,0.997903636,21.209418285714285,26.686726958971974,35.25248613333334,20.37712092857143,32.74043509285094,63.145581571428565,0.0,3000.414806644792,11416.42857,288039.8214379,0.0,293.46718749718747,1114.814286,28172.84999973,0.0,4.987913239923821,9.824094011167476,7045.0,6278650.0
2020-05-18,p1,1BY6WEcLGh8j5v7,0.0,0.15902588630644313,0.97148052,20.961525466666664,23.85093750987103,28.367100066666666,19.47753106666667,27.814343825347223,53.9367392,0.0,2125.315662175,12238.85714,204030.3035688,0.0,208.02611606822916,1193.628571,19970.50714255,0.0,4.989863903507656,9.830863751355258,4998.0,6283648.0
2020-05-19,p1,1BY6WEcLGh8j5v7,0.0,0.19403076874444472,0.835832152,22.388783866666664,25.338020985227853,30.368632,20.06214393333333,29.72516349473886,51.84774173333333,0.0,2497.6050307139785,10854.5,232277.2678564,0.0,244.52878264505375,1059.8,22741.17678599,0.0,4.628925068201845,9.831315242150062,6449.0,6290097.0
2020-05-20,p1,1BY6WEcLGh8j5v7,0.0,0.24007292401894356,0.9751613035714286,21.3480144,25.150683117720437,31.52517981818181,18.492340066666667,29.783704109723175,59.367140466666655,0.0,3031.7449873325,12094.5,230412.61903727,0.0,296.26655700253946,1179.225,22516.258332193,0.0,4.494070087548123,9.826109751413307,8249.0,6298346.0
2020-05-21,p1,1BY6WEcLGh8j5v7,0.0,0.36240262066486967,1.0389913628571428,23.530553636363635,27.94191187975358,32.33336766666667,21.126922666666665,37.96481178422244,61.4558144,0.0,4441.17848,11813.875,288676.6012,0.0,434.2020421144615,1152.2375,28223.13273744,0.0,6.46288180460152,9.82732268869305,7243.0,6305589.0
2020-05-22,p1,1BY6WEcLGh8j5v7,0.0,0.23040752609618073,1.0477749826666665,21.5649028,26.526702964037696,33.00463246666666,20.2063374,32.47888503784722,62.21209042857143,0.0,2925.0944939916667,13335.14286,280809.0714232,0.0,286.00660342354166,1300.171429,27456.63392866,0.0,5.0883007976130505,9.82496581361496,6848.0,6312437.0
2020-05-23,p1,1BY6WEcLGh8j5v7,0.0,0.2933331639016568,1.112296618,21.45861,26.89511797894596,33.424020071428565,20.320503666666664,34.95697619162654,65.54571366666664,0.0,3668.182784842697,12904.625,326468.267851,0.0,358.68461074959555,1258.1875,31922.930356714,0.0,5.27163046629982,9.83050847541415,7966.0,6320403.0
2020-05-24,p1,1BY6WEcLGh8j5v7,0.0,0.25976229410688295,0.9758267626666666,23.151116866666666,27.625116263144843,33.78651526666667,20.093800666666667,33.978544399454364,61.743723933333335,0.0,3219.9138765020834,12591.75,309111.7321442,0.0,314.79549851864584,1227.7125,30220.36785779,0.0,5.190466233000918,9.82874854745559,7537.0,6327940.0
2020-05-25,p1,1BY6WEcLGh8j5v7,0.0,0.29265791607183633,0.970586436,22.384967,27.347038923297493,34.7056704,19.720330800000003,34.969323109933434,60.86849728571429,0.0,3646.343509887097,11785.57143,339109.9464195,0.0,356.3941052156989,1149.1,33144.65178506,0.0,5.247440716492144,9.823710407239819,8268.0,6336208.0
2020-05-26,p1,1BY6WEcLGh8j5v7,0.0,0.25501139727606187,1.0541559813333337,21.066817333333333,26.8814174556391,33.488021,18.7768678,33.52898771689223,61.56432686666666,0.0,3215.9573307536843,12465.85714,305515.9464216,0.0,314.4604323211579,1215.428571,29873.74107051,0.0,5.039508102208818,9.826526923999504,7456.428571,6343669.0
2020-05-27,p1,1BY6WEcLGh8j5v7,0.0,0.21393298177893408,1.0365607706666664,22.825628666666667,26.835469128621032,32.97901057142858,20.5220438,32.42028754332011,62.420866,0.0,2617.19289428125,10787.25,251250.517851,0.0,256.20422246822915,1052.475,24595.60535695,0.0,5.092897400200706,9.826086956893562,6164.0,6349833.0
2020-05-28,p1,1BY6WEcLGh8j5v7,0.0,0.2892487116306812,1.0637222583333332,20.613987769230768,27.13662862378917,33.757623499999994,19.201869428571428,34.38193792589947,61.48070286666666,0.0,3628.0046957292225,12647.33333,326520.42261563,0.0,354.6403240758111,1233.116667,31917.629166823,0.0,5.534547943621531,9.829601518026564,7977.0,6357810.0
2020-05-29,p1,1BY6WEcLGh8j5v7,0.0,0.34923466537197584,1.0518955426666667,20.838399333333328,27.030236130918848,32.46573564285715,20.166653916666665,38.14349369849095,63.19209206666668,0.0,4377.134859050704,11872.42857,310776.5749926,0.0,427.99273140380285,1158.3,30387.48392967,0.0,6.74627507944255,9.826023504109378,7564.0,6365374.0
2020-05-30,p1,1BY6WEcLGh8j5v7,0.0,0.2278651475883544,1.151102274,21.150111866666663,24.99122322852183,31.278884,19.747505800000003,30.816012287251983,62.91643313333333,0.0,2879.863467255938,12998.42857,276466.89285657,0.0,281.8197172548854,1267.728571,27054.692856469,0.0,5.1942834597822,9.831845623911997,6754.0,6372128.0
2020-05-31,p1,1BY6WEcLGh8j5v7,0.0,0.18359852197076534,1.034329982142857,21.98220433333333,25.472599566071427,31.1993794,20.415987200000004,30.16071277490079,58.3018188,0.0,2442.8045013884375,12462.625,234509.23213329,0.0,238.83560267865627,1215.1,22928.217857151,0.0,5.19006420369089,9.826314853855722,5803.0,6377931.0
2020-06-01,p1,1BY6WEcLGh8j5v7,0.0,0.18384629539216754,1.0894755359999997,21.171103933333328,24.779514438438643,29.979579800000003,19.2844768,28.961083133146364,58.597363133333324,0.0,2346.0393104135414,13262.625,225219.7737997,0.0,229.51301463572918,1293.0875,22033.24940503,0.0,5.190651399744634,9.825535787128558,5508.0,6383439.0
2020-06-02,p1,1BY6WEcLGh8j5v7,0.0,0.22378801433646392,0.9342755213333332,21.200297,24.374919994841267,28.011470400000004,19.403820666666665,29.448150874603176,51.1395304,0.0,2985.7682291854167,12181.5,286633.7500018,0.0,292.1238467295729,1188.4125,28043.889286039,0.0,5.189171157277671,9.818553797271788,7029.0,6390468.0
